"pop_name","R_bar","R_sd","R_iv_cv","R_iv_sd","R_bar_lower","R_bar_upper","S_bar","S_sd","S_iv_cv","S_iv_sd","S_bar_lower","S_bar_upper","N0","nCollarYears","nSurvYears","nCowsAllYears","nRecruitYears"
"DL",0.196119247028406,0.255687445171677,0.453965350252374,0.229940708217917,0.12612965675111,0.284833087210309,0.956920766795607,0.811921143234491,0.771885168797651,0.310875734380256,0.835554120711583,0.991478099413008,1000,74,27,NA,27
"JR",0.250727715053896,0.28837223951928,0.453965350252374,0.229940708217917,0.160161870044606,0.370462524488654,0.927341656790998,0.741044244922272,0.771885168797651,0.310875734380256,0.770119114862382,0.984362941288257,1000,80,27,NA,27
"LJ",0.239014165238646,0.228096529455212,0.453965350252374,0.229940708217917,0.164289258748783,0.330012114538824,0.894005543034041,0.659964706417572,0.771885168797651,0.310875734380256,0.700569496468083,0.970275870363715,1000,158,27,NA,27
"MM",0.346932000981674,0.198648409021298,0.453965350252374,0.229940708217917,0.2658351032569,0.441111933393329,0.885841086113167,0.708227227948175,0.771885168797651,0.310875734380256,0.679195096081464,0.971901295832944,1000,122,27,NA,27
"RW",0.339015139108168,0.321239218261289,0.453965350252374,0.229940708217917,0.212318194808582,0.487712468749579,0.988959711876668,1.44837322440615,0.771885168797651,0.310875734380256,0.895196647288279,0.999626194188831,1000,44,27,NA,27
